"(PDH-CSV 4.0) (","\\DESKTOP-5GTCQEM\LogicalDisk(C:)\Disk Read Bytes/sec","\\DESKTOP-5GTCQEM\LogicalDisk(C:)\Disk Reads/sec","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\% Disk Time","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk Bytes/Read","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk Queue Length","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk sec/Read","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Current Disk Queue Length","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Disk Read Bytes/sec","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Disk Reads/sec","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Current Disk Queue Length","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\% Disk Time","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk Queue Length","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\% Disk Read Time","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk Read Queue Length","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\% Disk Write Time","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk Write Queue Length","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk sec/Transfer","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk sec/Read","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk sec/Write","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Disk Transfers/sec","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Disk Reads/sec","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Disk Writes/sec","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Disk Bytes/sec","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Disk Read Bytes/sec","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Disk Write Bytes/sec","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk Bytes/Transfer","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk Bytes/Read","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk Bytes/Write","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\% Idle Time","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Split IO/Sec"
"10/09/2022 18:55:27.756","5118.5129696120675362","0.99970956437735702949","0.28071681453388996896","5120","0.0028071681453388998458","6.8940000000000000628e-005","0","5118.5129696120675362","0.99970956437735702949","0","0.28071681453388996896","0.0028071681453388998458","0.0068923013234158305579","6.8923013234158307205e-005","0.27382451321047412973","0.0027382451321047414708","6.0254506437768236911e-005","6.8940000000000000628e-005","6.0064035087719296448e-005","46.586465699984834998","0.99970956437735702949","45.586756135607480189","1371147.2542996807024","5118.5129696120675362","1366028.7413300687913","29432.3090128755357","5120","29965.473684210526699","99.65499303041772805","0"
"10/09/2022 18:55:32.743","5133.7363383204437923","0.80214630286256938252","0.23041642838954987105","6400","0.0023041642838954987278","8.8900000000000006036e-005","0","5133.7363383204437923","0.80214630286256938252","0","0.23041642838954987105","0.0023041642838954987278","0.0071307673239044376545","7.1307673239044374377e-005","0.22328566106564542992","0.0022328566106564542992","5.0618942731277538898e-005","8.8900000000000006036e-005","4.9932286995515693143e-005","45.521802687450808378","0.80214630286256938252","44.719656384588240883","617896.50568024860695","5133.7363383204437923","612762.7693419281859","13573.638766519823548","6400","13702.313901345291015","99.635410444039465006","0.40107315143128469126"
"10/09/2022 18:55:37.745","0","0","0.058154762519992263259","0","0.00058154762519992261524","0","0","0","0","0","0.058154762519992263259","0.00058154762519992261524","0","0","0.058154762519992263259","0.00058154762519992261524","4.61730158730158736e-005","0","4.61730158730158736e-005","12.594976367725969624","0","12.594976367725969624","203899.47265633629286","0","203899.47265633629286","16188.952380952381645","0","16188.952380952381645","99.880945571768435798","0.39984051961034822176"
"10/09/2022 18:55:42.749","0","0","0.5459294686151553444","0","0.0054592946861515539297","0","0","0","0","0","0.5459294686151553444","0.0054592946861515539297","0","0","0.5459294686151553444","0.0054592946861515539297","7.7833903133903124013e-005","0","7.7833903133903124013e-005","70.139468236122851863","0","70.139468236122851863","1133613.668731611222","0","1133613.668731611222","16162.279202279201854","0","16162.279202279201854","99.410715422247207584","0"
"10/09/2022 18:55:47.762","0","0","0.42971553523376543327","0","0.0042971553523376542633","0","0","0","0","0","0.42971553523376543327","0.0042971553523376542633","0","0","0.42971553523376543327","0.0042971553523376542633","6.4302686567164173007e-005","0","6.4302686567164173007e-005","66.827931442122817884","0","66.827931442122817884","1225644.2112847839016","0","1225644.2112847839016","18340.298507462684938","0","18340.298507462684938","99.622164156544968705","0.79794545005519790237"
"10/09/2022 18:55:52.757","0","0","0.55339543431649884653","0","0.0055339543431649883959","0","0","0","0","0","0.55339543431649884653","0.0055339543431649883959","0","0","0.55339543431649884653","0.0055339543431649883959","6.8253333333333332631e-005","0","6.8253333333333332631e-005","81.0796656362675634","0","81.0796656362675634","1562110.8676541221794","0","1562110.8676541221794","19266.370370370368619","0","19266.370370370368619","99.503632567180972046","0"
"10/09/2022 18:55:57.756","0","0","0.66457764311882883135","0","0.00664577643118828814","0","0","0","0","0","0.66457764311882883135","0.00664577643118828814","0","0","0.66457764311882883135","0.00664577643118828814","6.6174501992031879976e-005","0","6.6174501992031879976e-005","100.41982086424218323","0","100.41982086424218323","2258980.277527178172","0","2258980.277527178172","22495.362549800796842","0","22495.362549800796842","99.356108135246500979","0.60011845137993335975"
"10/09/2022 18:56:02.755","0","0","0.69948190933158271854","0","0.0069948190933158274976","0","0","0","0","0","0.69948190933158271854","0.0069948190933158274976","0","0","0.69948190933158271854","0.0069948190933158274976","6.1784452296819792391e-005","0","6.1784452296819792391e-005","113.22149170355515935","0","113.22149170355515935","3324944.7410107385367","0","3324944.7410107385367","29366.727915194347588","0","29366.727915194347588","98.959724183701908373","5.8011011650231445458"
"10/09/2022 18:56:07.751","0","0","0.43014992206869084868","0","0.0043014992206869082786","0","0","0","0","0","0.43014992206869084868","0.0043014992206869082786","0","0","0.43014992206869084868","0.0043014992206869082786","7.8719047619047624142e-005","0","7.8719047619047624142e-005","54.643538878907932599","0","54.643538878907932599","2185728.744949400425","0","2185728.744949400425","39999.765567765571177","0","39999.765567765571177","99.516205186694975282","0.40031896614584566718"
"10/09/2022 18:56:12.760","0","0","0.043954487141016559959","0","0.00043954487141016558875","0","0","0","0","0","0.043954487141016559959","0.00043954487141016558875","0","0","0.043954487141016559959","0.00043954487141016558875","3.237647058823529345e-005","0","3.237647058823529345e-005","13.576175170193826247","0","13.576175170193826247","134113.44431656884262","0","134113.44431656884262","9878.5882352941171121","0","9878.5882352941171121","99.86859772528340784","1.1978978091347494139"
