"(PDH-CSV 4.0) (","\\DESKTOP-5GTCQEM\Network Interface(Realtek PCIe GbE Family Controller)\Bytes Sent/sec","\\DESKTOP-5GTCQEM\Network Interface(Realtek 8822BU Wireless LAN 802.11ac USB NIC)\Bytes Sent/sec","\\DESKTOP-5GTCQEM\Network Interface(Realtek PCIe GbE Family Controller)\Bytes Received/sec","\\DESKTOP-5GTCQEM\Network Interface(Realtek 8822BU Wireless LAN 802.11ac USB NIC)\Bytes Received/sec","\\DESKTOP-5GTCQEM\Network Interface(Realtek PCIe GbE Family Controller)\Bytes Total/sec","\\DESKTOP-5GTCQEM\Network Interface(Realtek 8822BU Wireless LAN 802.11ac USB NIC)\Bytes Total/sec","\\DESKTOP-5GTCQEM\Processor(0)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(1)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(2)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(3)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(4)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(5)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(6)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(7)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(8)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(9)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(10)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(11)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(_Total)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(0)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(1)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(2)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(3)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(4)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(5)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(6)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(7)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(8)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(9)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(10)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(11)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(_Total)\% DPC Time","\\DESKTOP-5GTCQEM\TCPv4\Segments Received/sec","\\DESKTOP-5GTCQEM\TCPv4\Segments Sent/sec","\\DESKTOP-5GTCQEM\TCPv4\Segments/sec","\\DESKTOP-5GTCQEM\TCPv4\Segments Retransmitted/sec","\\DESKTOP-5GTCQEM\TCPv4\Connection Failures","\\DESKTOP-5GTCQEM\TCPv4\Connections Reset","\\DESKTOP-5GTCQEM\TCPv4\Connections Established"
"10/09/2022 18:45:29.059","158225.23767297022277","0","4486966.6536058234051","0","4645191.8912787940353","0","8300.5093728733154421","412.44767070177971391","360.89171186405724256","154.66787651316738561","1495.1228062939512711","51.555958837722464239","360.89171186405724256","0","257.77979418861229988","154.66787651316738561","0","103.11191767544492848","11651.646697325275454","0","0","0","0","0","0","0","0","0","0","0","0","0","8506.7332082242064644","7578.7259491452014117","16085.459157369406967","0","1428","3050","202"
"10/09/2022 18:45:34.068","84693.265116188806132","0","2815924.6912239682861","0","2900617.9563401569612","0","4748.3042390893360789","462.57235628868113508","526.05876513624286872","79.058546866775031958","449.19628901576720637","81.054974817956207289","439.6134348500975193","50.309984369765928136","89.240329417799088674","134.55924390961203585","77.062118915593842416","70.47390667669591835","7207.5041893543229889","3.7427606774424768687","0","0","0","0","0","0","0","0","0","0","0","0.31189672312020644274","7054.7774510889621524","6304.5198270350720122","13359.297278124035074","0","1428","3050","204"
"10/09/2022 18:45:39.067","82051.755633525885059","0","2654233.6112705548294","0","2736285.3669040808454","0","3844.9881782468423808","577.5784833029102856","462.14281137157007606","68.221081678660340231","280.48667599261523264","75.223245487320497205","364.11251805032793527","42.213044675065489741","91.828376805000289096","61.619041516209343001","64.21984521656882805","72.222318140751866622","6004.8556204838423582","1.5629716110539193519","0","0","0","0","0","0","0","0","0","0","0","0.13024730082054958302","5234.8176633543298522","4653.0378817662240181","9887.8555451205538702","0.20006182310457579221","1428","3050","201"
"10/09/2022 18:45:44.062","28558.772361728544638","0","674700.97202395717613","0","703259.7443856857717","0","2538.6198199429545639","221.99411609499580322","139.52200082796400693","39.634657337068681215","87.276316156373468402","40.235182448236386676","83.072640378199508859","21.218553927925658087","50.043759263975609031","33.829581262447511847","41.436232670571804704","43.037632967019021635","3339.9204932777320209","0.9383285253212880761","0","0","0","0","0","0","0","0","0","0","0","0.07819304289301368116","165.34458060817541991","148.52987749547961016","313.87445810365500165","0.20017503705590242169","1428","3051","191"
"10/09/2022 18:45:49.073","26077.964326689041627","0","590828.92293040268123","0","616906.88725709170103","0","2593.288386061235542","155.45761083045036344","142.08705893617542415","47.096272344013208055","89.802214215279420273","46.098469963843434982","53.881328529167646479","28.736708548889414061","46.896711867979249178","36.120446162145718461","42.107260443164349795","37.716929970417353957","3319.2893978727611284","1.8709041044802254827","0.31181735074670430263","0","0","0","0","0","0","0","0","0","0","0.18189378720741827822","34.12484140180617942","23.348575695972648703","57.473417097778828122","0.19956047603395427048","1428","3051","195"
"10/09/2022 18:45:54.067","38797.772856613381009","0","1367639.7154453531839","0","1406437.4883019665722","0","3617.4169384301621903","345.42176688580292421","243.69755959421573266","66.481174844108153366","291.35575119932940424","66.080685839023161066","403.09218361804130382","31.238142396629132946","61.875551285630784548","44.654524066976257757","74.691199448350431567","51.663081655963566163","5297.6685592642324991","2.5030049575717630006","0.31287561969647037508","0","0","0","0","0.31287561969647037508","0","0","0","0","0","0.26072901561240335866","3335.6729233528722034","2955.6088575272178787","6291.2817808800900821","0","1428","3051","179"
"10/09/2022 18:45:59.053","92112.072991118911887","0","2829270.4086806927808","0","2921382.4816718115471","0","4613.5452444997490602","256.6980183855543487","687.66992581567649268","82.023038687259173685","603.84197918664392546","95.459575587128028928","702.91137065731879829","46.927606486109155526","109.69829379445174311","83.226310648441454987","127.34628255845861133","88.440489146898030981","7497.7881354536884828","2.8203215413241231602","0.31336906014712478941","0","0","0","0","0","0","0","0.31336906014712478941","0","0","0.28725664310318521633","7388.2903869861002022","6691.7964667884207302","14080.086853774520932","0","1428","3051","171"
"10/09/2022 18:46:04.059","118913.08540986444859","0","4325724.1667196908966","0","4444637.2521295556799","0","5491.889174915071635","279.28923486836197299","697.82353175621483388","99.489298257828508554","847.25725685030261047","112.47484923525593103","836.2694829463256383","43.551540201218102766","65.327310301827154149","127.65795499347875364","90.099746012611760193","97.891076599068213682","8789.020456937565541","1.8728097115861059851","0.31213495193101764569","0.31213495193101764569","0","0","0","0.31213495193101764569","0","0","0","0","0","0.23410021511641707082","11171.169839319789389","10037.631127844048024","21208.800967163835594","0","1428","3051","168"
"10/09/2022 18:46:09.064","119275.65335744163895","0","3490533.8906570938416","0","3609809.5440145353787","0","5337.2860022570857836","237.19050859899519423","433.01755023927762522","81.128345822402735621","977.93626713014521101","72.535934811655650378","657.2195305662132796","51.354642552604687467","65.941758919686947138","122.69163629299329443","95.115991653851480692","55.351112790161472788","8186.7692816350736393","4.6833185458695059111","0","0","0","0","0","0","0","0","0","0","0","0.39027754459708197121","8915.5256294535538473","8169.9841066373355716","17085.5097360908876","0","1428","3051","192"
"10/09/2022 18:46:14.056","103319.91382208322466","0","3644551.1080741859041","0","3747871.0218962687068","0","5312.3044067407927287","265.01428092451243401","533.43388518667916287","78.322436766050159918","986.34188909470833551","65.70270910297813316","689.47781930625228597","42.466385151924889385","84.93277030384977877","130.20353938090178758","72.51335577828685075","54.685486539978754195","8315.398964276915649","2.5039124132239107823","0","0","0","0.31298905165298884778","0","0","0","0","0","0","0","0.23474078717477636635","9392.6830178007458017","8478.6541713468159287","17871.33718914756173","0","1428","3051","188"
