"(PDH-CSV 4.0) (","\\DESKTOP-5GTCQEM\Processor(0)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(1)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(2)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(3)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(4)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(5)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(6)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(7)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(8)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(9)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(10)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(11)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(_Total)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(0)\% Interrupt Time","\\DESKTOP-5GTCQEM\Processor(1)\% Interrupt Time","\\DESKTOP-5GTCQEM\Processor(2)\% Interrupt Time","\\DESKTOP-5GTCQEM\Processor(3)\% Interrupt Time","\\DESKTOP-5GTCQEM\Processor(4)\% Interrupt Time","\\DESKTOP-5GTCQEM\Processor(5)\% Interrupt Time","\\DESKTOP-5GTCQEM\Processor(6)\% Interrupt Time","\\DESKTOP-5GTCQEM\Processor(7)\% Interrupt Time","\\DESKTOP-5GTCQEM\Processor(8)\% Interrupt Time","\\DESKTOP-5GTCQEM\Processor(9)\% Interrupt Time","\\DESKTOP-5GTCQEM\Processor(10)\% Interrupt Time","\\DESKTOP-5GTCQEM\Processor(11)\% Interrupt Time","\\DESKTOP-5GTCQEM\Processor(_Total)\% Interrupt Time","\\DESKTOP-5GTCQEM\Processor(0)\% Privileged Time","\\DESKTOP-5GTCQEM\Processor(1)\% Privileged Time","\\DESKTOP-5GTCQEM\Processor(2)\% Privileged Time","\\DESKTOP-5GTCQEM\Processor(3)\% Privileged Time","\\DESKTOP-5GTCQEM\Processor(4)\% Privileged Time","\\DESKTOP-5GTCQEM\Processor(5)\% Privileged Time","\\DESKTOP-5GTCQEM\Processor(6)\% Privileged Time","\\DESKTOP-5GTCQEM\Processor(7)\% Privileged Time","\\DESKTOP-5GTCQEM\Processor(8)\% Privileged Time","\\DESKTOP-5GTCQEM\Processor(9)\% Privileged Time","\\DESKTOP-5GTCQEM\Processor(10)\% Privileged Time","\\DESKTOP-5GTCQEM\Processor(11)\% Privileged Time","\\DESKTOP-5GTCQEM\Processor(_Total)\% Privileged Time","\\DESKTOP-5GTCQEM\Processor(0)\% Processor Time","\\DESKTOP-5GTCQEM\Processor(1)\% Processor Time","\\DESKTOP-5GTCQEM\Processor(2)\% Processor Time","\\DESKTOP-5GTCQEM\Processor(3)\% Processor Time","\\DESKTOP-5GTCQEM\Processor(4)\% Processor Time","\\DESKTOP-5GTCQEM\Processor(5)\% Processor Time","\\DESKTOP-5GTCQEM\Processor(6)\% Processor Time","\\DESKTOP-5GTCQEM\Processor(7)\% Processor Time","\\DESKTOP-5GTCQEM\Processor(8)\% Processor Time","\\DESKTOP-5GTCQEM\Processor(9)\% Processor Time","\\DESKTOP-5GTCQEM\Processor(10)\% Processor Time","\\DESKTOP-5GTCQEM\Processor(11)\% Processor Time","\\DESKTOP-5GTCQEM\Processor(_Total)\% Processor Time","\\DESKTOP-5GTCQEM\Processor(0)\% User Time","\\DESKTOP-5GTCQEM\Processor(1)\% User Time","\\DESKTOP-5GTCQEM\Processor(2)\% User Time","\\DESKTOP-5GTCQEM\Processor(3)\% User Time","\\DESKTOP-5GTCQEM\Processor(4)\% User Time","\\DESKTOP-5GTCQEM\Processor(5)\% User Time","\\DESKTOP-5GTCQEM\Processor(6)\% User Time","\\DESKTOP-5GTCQEM\Processor(7)\% User Time","\\DESKTOP-5GTCQEM\Processor(8)\% User Time","\\DESKTOP-5GTCQEM\Processor(9)\% User Time","\\DESKTOP-5GTCQEM\Processor(10)\% User Time","\\DESKTOP-5GTCQEM\Processor(11)\% User Time","\\DESKTOP-5GTCQEM\Processor(_Total)\% User Time","\\DESKTOP-5GTCQEM\Processor(0)\Interrupts/sec","\\DESKTOP-5GTCQEM\Processor(1)\Interrupts/sec","\\DESKTOP-5GTCQEM\Processor(2)\Interrupts/sec","\\DESKTOP-5GTCQEM\Processor(3)\Interrupts/sec","\\DESKTOP-5GTCQEM\Processor(4)\Interrupts/sec","\\DESKTOP-5GTCQEM\Processor(5)\Interrupts/sec","\\DESKTOP-5GTCQEM\Processor(6)\Interrupts/sec","\\DESKTOP-5GTCQEM\Processor(7)\Interrupts/sec","\\DESKTOP-5GTCQEM\Processor(8)\Interrupts/sec","\\DESKTOP-5GTCQEM\Processor(9)\Interrupts/sec","\\DESKTOP-5GTCQEM\Processor(10)\Interrupts/sec","\\DESKTOP-5GTCQEM\Processor(11)\Interrupts/sec","\\DESKTOP-5GTCQEM\Processor(_Total)\Interrupts/sec","\\DESKTOP-5GTCQEM\System\Processor Queue Length","\\DESKTOP-5GTCQEM\System\System Calls/sec","\\DESKTOP-5GTCQEM\Process(chrome)\% Processor Time","\\DESKTOP-5GTCQEM\Process(Clash for Windows)\% Processor Time","\\DESKTOP-5GTCQEM\Process(Code)\% Processor Time","\\DESKTOP-5GTCQEM\Process(DingTalk)\% Processor Time","\\DESKTOP-5GTCQEM\Process(Everything)\% Processor Time","\\DESKTOP-5GTCQEM\Process(mysqld)\% Processor Time","\\DESKTOP-5GTCQEM\Process(Notion)\% Processor Time","\\DESKTOP-5GTCQEM\Process(QQ)\% Processor Time","\\DESKTOP-5GTCQEM\Process(Snipaste)\% Processor Time","\\DESKTOP-5GTCQEM\Process(ssh)\% Processor Time","\\DESKTOP-5GTCQEM\Process(steam)\% Processor Time","\\DESKTOP-5GTCQEM\Process(ToDesk)\% Processor Time","\\DESKTOP-5GTCQEM\Process(vmware)\% Processor Time","\\DESKTOP-5GTCQEM\Process(WeChat)\% Processor Time","\\DESKTOP-5GTCQEM\Process(chrome)\% User Time","\\DESKTOP-5GTCQEM\Process(Clash for Windows)\% User Time","\\DESKTOP-5GTCQEM\Process(Code)\% User Time","\\DESKTOP-5GTCQEM\Process(DingTalk)\% User Time","\\DESKTOP-5GTCQEM\Process(Everything)\% User Time","\\DESKTOP-5GTCQEM\Process(mysqld)\% User Time","\\DESKTOP-5GTCQEM\Process(Notion)\% User Time","\\DESKTOP-5GTCQEM\Process(QQ)\% User Time","\\DESKTOP-5GTCQEM\Process(Snipaste)\% User Time","\\DESKTOP-5GTCQEM\Process(ssh)\% User Time","\\DESKTOP-5GTCQEM\Process(steam)\% User Time","\\DESKTOP-5GTCQEM\Process(ToDesk)\% User Time","\\DESKTOP-5GTCQEM\Process(vmware)\% User Time","\\DESKTOP-5GTCQEM\Process(WeChat)\% User Time","\\DESKTOP-5GTCQEM\Process(chrome)\ID Process","\\DESKTOP-5GTCQEM\Process(Clash for Windows)\ID Process","\\DESKTOP-5GTCQEM\Process(Code)\ID Process","\\DESKTOP-5GTCQEM\Process(DingTalk)\ID Process","\\DESKTOP-5GTCQEM\Process(Everything)\ID Process","\\DESKTOP-5GTCQEM\Process(mysqld)\ID Process","\\DESKTOP-5GTCQEM\Process(Notion)\ID Process","\\DESKTOP-5GTCQEM\Process(QQ)\ID Process","\\DESKTOP-5GTCQEM\Process(Snipaste)\ID Process","\\DESKTOP-5GTCQEM\Process(ssh)\ID Process","\\DESKTOP-5GTCQEM\Process(steam)\ID Process","\\DESKTOP-5GTCQEM\Process(ToDesk)\ID Process","\\DESKTOP-5GTCQEM\Process(vmware)\ID Process","\\DESKTOP-5GTCQEM\Process(WeChat)\ID Process"
"10/09/2022 18:45:27.307","0","0","0","0","0","0","0","0","0","0","0","0","0","44.190472958258744995","0","0","0","0","0","0","0","0","0","0","0","3.6825865496927172593","44.190472958258744995","0","0","0","0","44.190472958258744995","0","44.190472958258744995","44.190472958258744995","44.190472958258744995","88.380945916517489991","44.190472958258744995","29.460126759487870629","55.809527041741255005","55.809527041741255005","55.809527041741255005","100","55.809527041741255005","55.809527041741255005","100","100","55.809527041741255005","100","100","55.809527041741255005","74.222176971177916016","0","44.190472958258744995","44.190472958258744995","88.380945916517489991","44.190472958258744995","0","88.380945916517489991","44.190472958258744995","0","44.190472958258744995","0","0","33.142713309180585668","14633.057715830538655","6271.3104496416590337","7401.2762964239400389","5819.3241109287473591","9971.9485978536285984","7090.5356885588125806","7344.7780040848265344","5452.0852107245054867","7344.7780040848265344","6101.815572624316701","7344.7780040848265344","6638.5493498459009061","91414.237004686525324","0","844508.22473890718538","0","0","0","88.380945916517489991","0","0","0","0","0","0","44.190472958258744995","0","0","44.190472958258744995","0","0","0","88.380945916517489991","0","0","0","0","0","0","0","0","0","0","5344","20116","3084","3512","4836","5020","20632","14884","13548","12640","2532","10104","1152","13656"
"10/09/2022 18:45:32.327","4.0463035371276561136","0","0","0","0","0","0.62250823648117792342","0","0","0","0","0","0.38906864381391453866","6.8475906012929561584","0.31125411824058896171","0","0","0","0.31125411824058896171","0.31125411824058896171","0","0.31125411824058896171","0","0","0.31125411824058896171","0.70032077002814674405","18.363992976194747797","3.112541182405889284","8.7151153107364898176","3.112541182405889284","5.9138282465711897729","4.0463035371276561136","6.225082364811778568","0.93376235472176682961","8.0926070742553122273","1.2450164729623558468","2.8012870641653004888","4.0463035371276561136","5.5506997699747406827","32.457856341792201249","9.1137974737480309528","24.676503385777483146","9.7363057102292103195","20.007691612168642337","11.292576301432156072","20.318945730409232908","9.7363057102292103195","22.808978676333946822","7.8687810007856739958","13.782609247356869986","14.405117483838047576","16.350456718854900373","14.006435320826501112","5.9138282465711897729","15.873960030270033883","6.5363364830523673632","14.006435320826501112","7.1588447195335458417","14.006435320826501112","8.7151153107364898176","14.628943557307680479","6.5363364830523673632","10.89389413842061316","10.27138590193943557","10.712330896135565439","10705.033178351821334","4181.295640291124073","7383.1043504578337888","4426.7151843044002817","6962.5843363246958688","4872.9325370558117356","6043.0578629762530909","4068.7452812265942157","5550.8243457223525184","4168.1481647189848445","5522.3381486493826742","5007.5945595825769487","68892.37358966183092","0","576438.71580159827136","2.1787788276841224544","0","0","0","0","0","0","3.112541182405889284","0","0","19.297755330916512406","0","0","0","0.62250823648117792342","0","0","0","0","0","0","1.556270591202944642","0","0","18.052738857954160778","0","0","0","5344","20116","3084","3512","4836","5020","20632","14884","13548","12640","2532","10104","1152","13656"
"10/09/2022 18:45:37.317","1.2525271990790378673","0","0","0","0","0","0","0","0","0","0","0","0.1043765985754136344","5.6363723958556706251","0","0.62626359953951893367","0.93939539930927828948","0.31313179976975946683","0","0.31313179976975946683","0","0.31313179976975946683","0","0.62626359953951893367","0.31313179976975946683","0.756734848769665569","14.090930989639174342","1.878790798618556579","4.6969769965463914474","2.5050543981580757347","5.6363723958556706251","2.1919225983883161568","3.7575815972371131579","0.31313179976975946683","5.9495041956254297588","0.31313179976975946683","2.5050543981580757347","2.1919225983883161568","3.8358635451577938191","31.737267650192436008","7.9392508676907169729","20.151391058711343618","11.383700665158080767","21.4039182577903766","9.5049098665395241881","24.848368055257729736","11.383700665158080767","25.161499855027493311","11.070568865388318969","20.151391058711343618","15.454414062164945065","17.515865411323115808","17.535380787106529255","5.9495041956254297588","15.343458188718212654","8.7676903935532646273","15.656589988487972676","7.2020313947044662939","20.97983058457388239","10.959612991941581228","19.101039785955325812","10.646481192171821206","17.535380787106529255","13.151535590329896053","13.569043988675069556","9851.9223603586706304","4354.6057967500719315","7206.7733930198965027","4120.7328635820786076","6984.12315415987905","4648.8007118234354493","5958.4490565131000039","4032.1537406512702546","6385.9134664936736954","3983.6556688203750127","5696.5193875751665473","4854.015693454990469","68077.665293202604516","0","647319.39633688447066","3.1313179976975948904","0","0","0","0","0","0","1.2525271990790378673","0","0","15.969721788257732698","0.31313179976975946683","0","0","1.2525271990790378673","0","0","0","0","0","0","1.2525271990790378673","0","0","13.151535590329896053","0","0","0","5344","20116","3084","3512","4836","5020","20632","14884","13548","12640","2532","10104","1152","13656"
"10/09/2022 18:45:42.310","0.93876699749049308252","0","0","0","0","0","0","0","0","0","0","0","0.078231584475671744894","4.6938349874524654126","0.625844664993661981","0","0","0","0.3129223324968309905","0","0.625844664993661981","0","0","0","0","0.52153788839569437119","9.3876699749049308252","1.877533994980986165","4.6938349874524654126","2.1904563274778170445","2.8163009924714792476","2.1904563274778170445","10.013514639898591696","0.93876699749049308252","5.3196796524461271716","0.625844664993661981","1.251689329987323962","0.93876699749049308252","3.5203772419408125849","19.578960548314427115","6.7491449159443606121","15.510970225855624349","6.7491449159443606121","9.252523575919003207","8.6266789109253458889","20.830649878301755962","5.8103779184538577596","23.021106205779574339","3.6199215909760495968","11.755902235893655572","10.191290573409494513","11.808054622841169135","10.326436972395423908","5.006757319949295848","10.952281637389086555","4.6938349874524654126","6.5713689824334506895","6.5713689824334506895","10.952281637389086555","5.006757319949295848","17.836572952319368568","3.129223324968310127","10.639359304892254343","9.3876699749049308252","8.422825782589212551","8170.8456760186700194","3935.3199228845523976","7032.1062825570124915","3928.7109886629141329","6275.2831788124458399","4885.0037434605601447","5810.8553466918720005","3813.9558580871967024","6013.7296002227658391","3541.9882013300862127","5851.5103056916468631","4696.1484413088992369","63955.457545728619152","0","1283138.9986238998827","2.503378659974647924","0","0","0","0","0","0","2.503378659974647924","0","0","2.1904563274778170445","0","0","0","1.251689329987323962","0","0","0","0","0","0","2.503378659974647924","0","0","0.93876699749049308252","0","0","0","5344","20116","3084","3512","4836","5020","20632","14884","13548","12640","2532","10104","1152","13656"
"10/09/2022 18:45:47.325","1.5580494007258387512","0","0","0","0","0","0","0","0","0","0","0","0.12983711767661440528","2.4928790411613421796","0","0","0","0","0","0","0","0.31160988014516777245","0","0","0","0.23370840726049227354","5.608977842613019682","1.2464395205806710898","6.5438074830485222222","0.62321976029033554489","2.804488921306509841","1.5580494007258387512","6.2321976029033550049","0.31160988014516777245","4.6741482021775162536","0.62321976029033554489","2.1812691610161740741","1.2464395205806710898","2.804488921306509841","15.242112600514378329","3.7125470351431766325","13.372453319643373248","2.4661075145624988814","7.1402557167400182436","6.2054260763045103744","14.930502720369210223","4.6473766755786733995","18.046601521820893055","2.7777173947076683191","9.6331347579013630877","9.3215248777561932059","8.9579813471223239674","9.6599062845002006128","2.4928790411613421796","6.8554173631936903277","1.8696592808710061906","4.3625383220323481481","4.6741482021775162536","8.7250766440646962963","4.3625383220323481481","13.399224846242210774","2.1812691610161740741","7.4786371234840247624","8.1018568837743600852","6.1802619581114148772","6690.1630073592987173","3615.3125558161741537","6270.9558696537833384","3615.7114208377779505","5769.781970008701137","4180.5042914286541418","5305.3036523511618725","3517.3911930124590981","5449.6927901717108398","3241.7754630842846382","5100.6858962684500511","4338.2554074729278","57095.53351746538101","0","768302.18077855103184","2.1812691610161740741","0","0","0","0","0","0","1.2464395205806710898","0","0","1.5580494007258387512","0","0","0","0.62321976029033554489","0","0","0","0","0","0","0.9348296404355030953","0","0","0","0","0","0","5344","20116","3084","3512","4836","5020","20632","14884","13548","12640","2532","10104","1152","13656"
"10/09/2022 18:45:52.316","2.1911675323923676117","0.62604786639781939694","0","0","0","0","0","0","0","0","0","0","0.23476694822259602802","3.1302393319890966517","0","0","0.62604786639781939694","0","0","0","0","0","0","0.31302393319890969847","0","0.33910759150450842103","11.894909461558567543","4.6953589979836447554","8.4516461963705609151","5.6344307975803742394","4.3823350647847352235","3.7562871983869157155","9.0776940627683799789","1.5651196659945483258","10.329789795564019883","0.62604786639781939694","3.7562871983869157155","2.1911675323923676117","5.5300881509452892715","26.752399631455137552","9.8491072387140157218","21.430992767073675509","11.101202971509650297","13.605394437100926552","10.788179038310740765","21.744016700272585041","9.8491072387140157218","32.073806495836599595","6.4058439735260037651","19.552849167880214765","15.796561969493295052","16.579121802490568882","14.712124860348755107","5.0083829311825551756","12.833981261155297915","5.3214068643814647075","9.0776940627683799789","6.8865265303760123672","12.520957327956386607","8.1386222631716513831","21.598651390724768362","5.6344307975803742394","15.651196659945485479","13.460029127553116979","10.903668341997468261","7800.5326591061857471","3752.2208820447599464","7233.5927180390917783","3671.8876960490338206","6907.6523349591761871","4171.7163720074786397","6049.8301343763860132","3627.8146264254432936","5713.8731445638359219","3331.3230671394721867","7484.4085506242518022","4796.9529642585039255","64541.805149593616079","0","595311.1783087416552","2.1911675323923676117","0.31302393319890969847","0","0","0","0","0","4.6953589979836447554","0","0","5.0083829311825551756","0","0","0.62604786639781939694","1.2520957327956387939","0.31302393319890969847","0","0","0","0","0","3.7562871983869157155","0","0","4.0693111315858256916","0","0","0","5344","20116","3084","3512","4836","5020","20632","14884","13548","12640","2532","10104","1152","13656"
"10/09/2022 18:45:57.313","3.1271049794458640747","0.31271049794458644078","0","0","0","0","0.31271049794458644078","0","0","0.31271049794458644078","0","0","0.3387700396644997558","5.3160784650579691046","0","0.31271049794458644078","0","0","0","0","0","0.31271049794458644078","0","0","0.62542099588917288155","0.54724437207661957849","14.697393403395562217","1.2508419917783457631","6.8796309547809002538","1.5635524897229320374","3.7525259753350375114","1.2508419917783457631","4.6906574691687961121","1.2508419917783457631","6.2542099588917281494","0.62542099588917288155","2.5016839835566915262","1.5635524897229320374","3.8567641422146898833","23.385928003576328393","3.3724561351227921868","19.007981032352116557","3.997877131011973173","11.502929081682044199","4.623298126901143057","16.819007546740017744","4.623298126901143057","24.324059497410090103","4.3105876289565525639","12.753771073460384855","12.441060575515805908","11.763520496186806952","8.7558939424484201197","2.1889734856121050299","12.195709419838870247","2.5016839835566915262","7.8177624486146610749","3.4398154773904501269","12.195709419838870247","3.4398154773904501269","18.137208880786012344","3.7525259753350375114","10.319446432171352157","10.944867428060524261","7.9741176975869532129","8527.7289282940273552","2984.4049232274242058","5845.1267561547847436","3105.0859967726314608","5401.0284108864334485","3388.4763784310298433","5078.0114080639368694","3007.6205194649764962","4303.2909508607881435","2508.0849314569527451","4070.1343162336456771","4123.7703489204041034","52342.763868767033273","0","363585.45670981763396","2.8143944815012775784","0","0","0","0","0","0","0.62542099588917288155","0","0","8.1304729465592480153","0","0","0","1.2508419917783457631","0","0","0","0","0","0","0.62542099588917288155","0","0","6.5669204568363142016","0","0","0","5344","20116","3084","3512","4836","5020","20632","14884","13548","12640","2532","10104","1152","13656"
"10/09/2022 18:46:02.312","2.1878467299497623699","0","0.31254953284996606078","0","0","0","0.31254953284996606078","0","0","0","0","0","0.23441314979597968615","12.189431781148677203","0","0.93764859854989812682","0","0","0","0.31254953284996606078","0.31254953284996606078","0.31254953284996606078","0","0.31254953284996606078","0","1.1981058758191998059","22.191016832347589371","3.1254953284996602747","10.314134584048879617","2.5003962627997284862","7.8137383212491515749","2.5003962627997284862","5.625891591299389205","3.4380448613496268351","9.0639364526490151519","0.93764859854989812682","5.3133420584494235328","3.1254953284996602747","6.329127040053307951","39.677940159956548882","20.299869123258652337","34.364598101507127126","32.801850437257293436","25.925760714558045095","14.673977531959270237","29.363805575907665713","17.174373794758992062","30.92655324015749585","8.1104373421099769104","18.7371214590088222","13.423779400559398667","23.790006240188944275","17.502773839598098959","17.190224306748135064","24.066314029447386957","30.317304686446703954","18.127872905298030304","12.189431781148677203","23.753764496597419509","13.75217944539850734","21.878467299497625476","7.1886392555492202305","13.439629912548539892","10.314134584048879617","17.476727711807768628","10777.469459852507498","3538.6138079511274555","5344.9271310601543519","3912.6786932461309334","6858.1896215717579253","4119.5145709974858619","5651.980392518887129","3353.7817469818314748","4916.2527732060407288","3523.811240297742188","6000.8409058635315887","4376.159088555501512","62374.219432102698192","0","178334.73394294976606","2.5003962627997284862","0","0","0","0","0","0","0.31254953284996606078","0","0","27.191809357947050785","0","0","0.31254953284996606078","1.5627476642498301374","0","0","0","0","0","0","0.31254953284996606078","0","0","24.066314029447386957","0","0","0.31254953284996606078","5344","20116","3084","3512","4836","5020","20632","14884","13548","12640","2532","10104","1152","13656"
"10/09/2022 18:46:07.314","3.4361137342750440737","0.31237397584318582489","0","0","0","0","0","0","0","0","0","0","0.31237397584318582489","9.3712192752955747466","0","0.31237397584318582489","0","0","0","0","0.31237397584318582489","0.31237397584318582489","0","0","0.93712192752955747466","0.93712192752955747466","18.11769059890477962","2.1866178309023007742","8.4340973477660181601","2.811365782588672424","9.0588452994523898099","1.8742438550591149493","7.1846014443932739724","3.4361137342750440737","8.121723371922831447","0.62474795168637164977","1.8742438550591149493","3.1237397584318582489","5.5706685694723319102","32.527221217871861825","10.973416884692044349","20.344636159987615542","13.472408691437532724","23.156001942576288855","9.4115470054761054541","21.594132063360362395","10.66104290884885053","23.468375918419472015","4.7259373678283260745","13.784782667280715884","15.346652546496642344","16.622179947721893001","14.369202888786547945","8.7464713236092030968","11.870211082041061346","10.620715178668318046","14.056828912943361232","7.4969754202364597973","14.369202888786547945","7.1846014443932739724","15.306324816316104531","4.0608616859614157235","11.870211082041061346","12.182585057884248059","11.011181648875577821","10334.399406044916759","3821.5726979137739363","7257.5096072590367839","4117.0468790979421101","6963.23491530836327","4373.9374899380345596","6039.4282906452772295","3672.0363734714483144","5017.6633785801323029","3744.2056423533726957","6580.7977646958370315","4525.8727928473490465","66447.70523815548222","0","541227.73440613516141","2.811365782588672424","0","0","0.93712192752955747466","0","0","0","0.93712192752955747466","0","0","18.11769059890477962","0","0","0.62474795168637164977","0.93712192752955747466","0","0","0.31237397584318582489","0","0","0","0.93712192752955747466","0","0","16.555820719688849607","0","0","0.31237397584318582489","5344","20116","3084","3512","4836","5020","20632","14884","13548","12640","2532","10104","1152","13656"
"10/09/2022 18:46:12.309","3.4408804585977446067","0","0","0","0.31280731441797676728","0","0","0","0","0","0","0","0.31280731441797676728","10.948256004629188354","0.31280731441797676728","0","0","0","0.31280731441797676728","0","0","0","0.31280731441797676728","0","0","0.99055716297919726987","20.958090066004444907","1.2512292576719070691","8.7586048037033492619","2.1896512009258373155","6.5689536027775119464","2.1896512009258373155","5.943338973941559189","0.93842194325393035736","4.379302401851674631","2.5024585153438141383","3.128073144179768228","3.128073144179768228","5.16132068789661691","33.372042028970938077","5.5321910457710066211","22.110978709923777785","9.2858788187867311592","16.480447050400194087","8.3474568755327993586","17.418868993654122335","7.4090349322788684461","19.921327508997944022","8.6602641899507730727","12.726759277384470437","11.475530019712564922","14.395064286958081823","12.512292576719072912","4.379302401851674631","13.450714519973002936","7.194568231613465592","10.009834061375256553","6.2561462883595364559","11.573870633465141111","6.5689536027775119464","15.640365720898842028","6.2561462883595364559","9.6970267469572810626","8.4457974892853737714","9.3320862147808494313","11861.595882641451681","3615.1951669857608067","6492.4564882793347351","4179.5564016591943073","6932.0936898908494186","4435.0104404826424798","5800.3682341941776031","3602.3824252265912946","4855.0281312754286773","3610.1901897360853582","4796.7701960892036368","4469.6448830503986756","64650.29212951111549","1","419802.07637286977842","2.1896512009258373155","0","0","0","0","0","0","4.0664950874336982523","0","0","21.896512009258376708","0.31280731441797676728","0","0","0.93842194325393035736","0","0","0","0","0","0","3.128073144179768228","0","0","20.332475437168493926","0","0","0","5344","20116","3084","3512","4836","5020","20632","14884","13548","12640","2532","10104","1152","13656"
