"(PDH-CSV 4.0) (","\\DESKTOP-5GTCQEM\Network Interface(Realtek PCIe GbE Family Controller)\Bytes Sent/sec","\\DESKTOP-5GTCQEM\Network Interface(Realtek 8822BU Wireless LAN 802.11ac USB NIC)\Bytes Sent/sec","\\DESKTOP-5GTCQEM\Network Interface(Realtek PCIe GbE Family Controller)\Bytes Received/sec","\\DESKTOP-5GTCQEM\Network Interface(Realtek 8822BU Wireless LAN 802.11ac USB NIC)\Bytes Received/sec","\\DESKTOP-5GTCQEM\Network Interface(Realtek PCIe GbE Family Controller)\Bytes Total/sec","\\DESKTOP-5GTCQEM\Network Interface(Realtek 8822BU Wireless LAN 802.11ac USB NIC)\Bytes Total/sec","\\DESKTOP-5GTCQEM\Processor(0)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(1)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(2)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(3)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(4)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(5)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(6)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(7)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(8)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(9)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(10)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(11)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(_Total)\DPCs Queued/sec","\\DESKTOP-5GTCQEM\Processor(0)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(1)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(2)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(3)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(4)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(5)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(6)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(7)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(8)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(9)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(10)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(11)\% DPC Time","\\DESKTOP-5GTCQEM\Processor(_Total)\% DPC Time","\\DESKTOP-5GTCQEM\TCPv4\Segments Received/sec","\\DESKTOP-5GTCQEM\TCPv4\Segments Sent/sec","\\DESKTOP-5GTCQEM\TCPv4\Segments/sec","\\DESKTOP-5GTCQEM\TCPv4\Segments Retransmitted/sec","\\DESKTOP-5GTCQEM\TCPv4\Connection Failures","\\DESKTOP-5GTCQEM\TCPv4\Connections Reset","\\DESKTOP-5GTCQEM\TCPv4\Connections Established"
"10/09/2022 18:55:29.077","121251.95476282210439","0","2898714.9559186818078","0","3019966.9106815038249","0","7705.7317045531808617","2493.0308455907347707","2719.6700133717108656","226.63916778097589599","1359.8350066858554328","0","226.63916778097589599","906.55667112390358398","226.63916778097589599","226.63916778097589599","906.55667112390358398","0","16997.93758357319166","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1439","3057","187"
"10/09/2022 18:55:34.089","13251.394027177519092","0","309635.63285547599662","0","322887.02688265353208","0","3315.7915761016070064","477.07652295456387037","104.55378420250583815","64.248699452684888911","99.166470894361452793","61.255747614826894676","98.567880526789849682","23.54455445781620071","60.657157247255298671","113.13357947103207835","44.894277567869870893","32.72294009391404046","4495.6131905852271302","2.1821772332925526428","0.31173960475607898069","0","0","0","0","0","0","0","0","0","0","0.20782507308173903127","450.93807690393737175","404.04849811082885935","854.98657501476623111","1.1971807351431966726","1439","3057","187"
"10/09/2022 18:55:39.080","22669.239641397958621","0","503089.38530088186963","0","525758.62494227977004","0","3524.8343003230966133","624.84696960642531849","103.60676179811478903","65.731175763600873552","90.580766601059735876","69.13797450744603168","121.0415553695576989","35.270386995102903427","57.514778793150760805","103.40636187200624363","49.097981896592116868","36.472786551754140305","4881.5418000779072827","4.3837460116678785838","0","0","0","0","0","0","0","0","0","0","0","0.36531283563838212736","679.55614943405657868","614.42617344878135555","1293.9823228828379342","0.40079985221707847831","1439","3057","187"
"10/09/2022 18:55:44.082","41720.542549160352792","0","990105.12163842283189","0","1031825.664187583141","0","3971.3765042435579744","360.21646250802291434","112.74255541316588847","90.753759144640625323","139.72880537908326914","76.1611943482556768","316.63866626676377791","53.972499931834732934","73.962314721403160434","108.74459245525220297","63.767509178723258856","47.175962903381474689","5415.2408264940850131","2.8110499479948263257","0.31233888311053625841","0","0","0","0","0","0","0","0","0","0","0.26028173626916289995","2554.8982282547399336","2301.0275804272209825","4855.9258086819609161","3.3982685142266313427","1439","3057","183"
"10/09/2022 18:55:49.089","45607.457161701844598","0","1144782.0695079034194","0","1190389.5266696054023","0","4100.4825762048294564","301.00965669738798169","120.24406989504150545","90.482663891119273103","126.03655831191227321","63.317890625794284176","332.76847250023115521","68.111674143204567144","75.901572358996304501","121.24277479450198314","69.310120022557143216","44.342497536045208051","5513.2505269816210784","3.1209770605689266532","0.62419541211378537504","0","0","0","0","0","0","0","0","0","0","0.31209770605689268752","2636.780675555552989","2374.7205099371235519","5011.5011854926769956","3.3955966581656240599","1439","3057","180"
"10/09/2022 18:55:54.076","60202.201745027326979","0","1724039.1288646284956","0","1784241.330609655939","0","4443.8643963491540489","335.24979789269434605","279.50850374546405419","78.599234912641264827","268.68105811974305652","75.190594623062423807","415.05208231930458851","53.335195119292286847","97.6475188838170709","143.36340041463904527","75.391102875390600957","74.589069866077934989","6340.4719551212801889","2.1930509189028715156","0","0","0","0","0","0","0","0","0","0","0","0.18275457742109363357","4020.9924921890506084","3618.3719215140922643","7639.3644137031424179","1.0025412616408324595","1439","3057","180"
"10/09/2022 18:55:59.078","76123.604456559231039","0","2267388.6360962139443","0","2343512.2405527732335","0","4451.1537156138583669","288.46738577341227483","530.95590894953772931","104.55193538426514976","425.80424927052536077","113.94761600197158202","312.85617375979916233","54.375002723747840605","110.34927023348826935","134.13833392512793807","127.94118287940669632","86.960022738346737015","6741.5007972534867804","3.43593609932503119","0","0","0","0","0","0","0","0","0","0","0","0.28632767509540357764","5840.3150903466666932","5285.5701177054888831","11125.885208052155576","0.39981619649814592599","1439","3057","180"
"10/09/2022 18:56:04.090","60592.540120423625922","0","1886020.782304611057","0","1946613.3224250345957","0","4427.2394853810501445","320.86361799669759876","386.31341072239212053","73.631016816406344105","271.17764729944775581","83.608119366054907573","332.43705695428991476","48.289176340299015067","95.181558323647237785","119.52568854478971616","86.002623977970557689","68.043839388603160501","6312.3132411116484946","3.1178053523688733506","0","0","0","0","0","0.31178053523688736837","0","0.31178053523688736837","0","0","0","0.31178053523688736837","4420.8541397492754186","3981.6620855137462058","8402.5162252630216244","0.19954205099297114834","1439","3057","180"
"10/09/2022 18:56:09.082","49089.144329458955326","0","1610977.8446109828074","0","1660066.9889404417481","0","4419.1686406948510921","297.42863630492450966","136.59685519189125102","84.92238504598516613","113.16308384665477149","62.490056920630600246","384.95477372260262428","53.276779297717112627","80.916612166457568378","117.97001130208789732","73.105355051378751341","37.053399135630321837","5861.0465886808115101","4.381361912751791543","0.31295442233941372923","0.31295442233941372923","0","0","0","0","0","0","0.31295442233941372923","0.31295442233941372923","0","0.46943163350912059384","3341.0148701699968115","2967.4765491540479161","6308.4914193240447275","2.2031750837401813392","1439","3057","177"
"10/09/2022 18:56:14.086","5923.3789199986267704","0","122427.15782987544662","0","128350.53674987406703","0","3138.6812613712986604","335.99459978126174065","98.939516294898609772","55.166275752307100788","90.744526056331253017","51.768352970462096607","50.56908610628151024","24.984726337095608528","65.160166287145344199","117.92790831109127225","47.171163324436506059","31.780571900785613337","4108.888154493395632","2.810750588833510033","0","0","0","0","0","0","0","0","0","0","0","0.23423021511411296069","21.786681365947369926","15.790347045044423879","37.577028410991793805","0","1439","3057","177"
"10/09/2022 18:56:19.078","13101.899622219512821","0","321196.73563946632203","0","334298.6352616858785","0","3336.1142297049245826","305.65023502219708007","96.542210537810618121","60.889692953307935852","91.534834472571475317","53.879366461973141611","91.134244387352339345","29.443371263606142207","59.687922697650542148","118.57466522486282656","48.871990396734005913","35.652517584502675163","4327.9752807074928569","4.0684599683768745138","0","0","0","0","0","0","0","0","0","0","0","0.33903866452042930035","210.30979474004385565","183.87084911558119416","394.18064385562507823","0.20029504260956557116","1439","3057","174"
