"(PDH-CSV 4.0) (","\\DESKTOP-5GTCQEM\LogicalDisk(C:)\Disk Read Bytes/sec","\\DESKTOP-5GTCQEM\LogicalDisk(C:)\Disk Reads/sec","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\% Disk Time","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk Bytes/Read","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk Queue Length","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk sec/Read","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Current Disk Queue Length","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Disk Read Bytes/sec","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Disk Reads/sec","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Current Disk Queue Length","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\% Disk Time","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk Queue Length","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\% Disk Read Time","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk Read Queue Length","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\% Disk Write Time","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk Write Queue Length","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk sec/Transfer","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk sec/Read","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk sec/Write","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Disk Transfers/sec","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Disk Reads/sec","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Disk Writes/sec","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Disk Bytes/sec","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Disk Read Bytes/sec","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Disk Write Bytes/sec","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk Bytes/Transfer","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk Bytes/Read","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Avg. Disk Bytes/Write","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\% Idle Time","\\DESKTOP-5GTCQEM\PhysicalDisk(1 C: E:)\Split IO/Sec"
"10/09/2022 19:15:27.779","26074.025788841132453","50.925831618830336822","4.0677680909463767023","512","0.040677680909463768966","2.2500000000000001417e-005","1","26074.025788841132453","50.925831618830336822","1","4.0677680909463767023","0.040677680909463768966","0.11831021464102052521","0.0011831021464102052521","3.9494578763053560522","0.039494578763053560244","5.5257142857142859543e-005","2.2500000000000001417e-005","5.777692307692307549e-005","712.96164266362472972","50.925831618830336822","662.0358110447944","6909616.8340429002419","26074.025788841132453","6883542.8082540594041","9691.428571428570649","512","10397.538461538460979","94.579814699912716947","0"
"10/09/2022 19:15:32.786","204.54318376019801917","0.3994984057816367562","0.076835401637184636003","512","0.00076835401637184632534","2.4300000000000001124e-005","0","204.54318376019801917","0.3994984057816367562","0","0.076835401637184636003","0.00076835401637184632534","0.00097065335436229192943","9.7065335436229194298e-006","0.075864748282822344616","0.00075864748282822346351","3.5294495412844040043e-005","2.4300000000000001124e-005","3.5499999999999995535e-005","21.772663115099206266","0.3994984057816367562","21.3731647093175674","357746.02839658636367","204.54318376019801917","357541.48521282617003","16430.972477064220584","512","16728.523364485979982","99.782479778854010988","0"
"10/09/2022 19:15:37.790","0","0","0.045209409312478854304","0","0.00045209409312478853219","0","0","0","0","0","0.045209409312478854304","0.00045209409312478853219","0","0","0.045209409312478854304","0.00045209409312478853219","3.3269117647058825426e-005","0","3.3269117647058825426e-005","13.588821835158398699","0","13.588821835158398699","343781.20558028965024","0","343781.20558028965024","25298.823529411765776","0","25298.823529411765776","99.88485319521791439","0"
"10/09/2022 19:15:42.774","0","0","0.052868128048732893065","0","0.00052868128048732892198","0","0","0","0","0","0.052868128048732893065","0.00052868128048732892198","0","0","0.052868128048732893065","0.00052868128048732892198","3.9328358208955228122e-005","0","3.9328358208955228122e-005","13.442943752676800528","0","13.442943752676800528","339413.86437803285662","0","339413.86437803285662","25248.477611940299539","0","25248.477611940299539","99.820671710934817611","1.2038457091949372746"
"10/09/2022 19:15:47.780","0","0","0.036559418514068298123","0","0.00036559418514068295954","0","0","0","0","0","0.036559418514068298123","0.00036559418514068295954","0","0","0.036559418514068298123","0.00036559418514068295954","3.5194230769230773492e-005","0","3.5194230769230773492e-005","10.387822563365418205","0","10.387822563365418205","189013.62310990074184","0","189013.62310990074184","18195.692307692308532","0","18195.692307692308532","99.870562758144330928","1.5981265482100643904"
"10/09/2022 19:15:52.792","1123.6452264171068691","0.39902174233562032191","0.592677371469622849","2816","0.0059267737146962281777","5.5749999999999999859e-005","0","1123.6452264171068691","0.39902174233562032191","0","0.592677371469622849","0.0059267737146962281777","0.002224547722514026802","2.2245477225140269239e-005","0.59045282374710883477","0.0059045282374710879661","0.00013502954545454546069","5.5749999999999999859e-005","0.00013575688073394495486","43.892391656918235299","0.39902174233562032191","43.493369914582615365","3599852.8567422963679","1123.6452264171068691","3598729.2115158792585","82015.418181818182347","2816","82742.018348623852944","99.222950517200359855","0.79804348467124064381"
"10/09/2022 19:15:57.777","22291.269837161617033","1.6050741530214298614","0.46420676731772975154","13888","0.0046420676731772974807","0.00033111250000000000491","0","22291.269837161617033","1.6050741530214298614","0","0.46420676731772975154","0.0046420676731772974807","0.05314569699521263374","0.00053145696995212635041","0.41106107032251704148","0.0041106107032251705882","0.00013610058823529413465","0.00033111250000000000491","0.00012647037037037038663","34.107825751705384221","1.6050741530214298614","32.502751598683950363","6635402.2297770390287","22291.269837161617033","6613110.9599398775026","194541.92941176469321","13888","203463.11111111112405","99.427898780369545761","1.6050741530214298614"
"10/09/2022 19:16:02.777","1581314.8631167123094","43.992957607346212967","1.1656912062827804455","35944.727272727272066","0.0116569120628278039","0.00016384454545454547533","0","1581314.8631167123094","43.992957607346212967","0","1.1656912062827804455","0.0116569120628278039","0.72080544286117387287","0.0072080544286117391797","0.44488576342160640609","0.0044488576342160638527","7.1176434676434668599e-005","0.00016384454545454547533","3.714140233722871431e-005","163.77378309280248914","43.992957607346212967","119.78082548545629038","3742837.6465495401062","1581314.8631167123094","2161522.7834328277968","22853.704517704518366","35944.727272727272066","18045.649415692820185","98.438573491597864518","9.7984314670907473044"
"10/09/2022 19:16:07.785","510339.11810607241932","15.973655289277607139","1.4499924783124009675","31948.799999999999272","0.014499924783124009189","0.00019909250000000000514","0","510339.11810607241932","15.973655289277607139","0","1.4499924783124009675","0.014499924783124009189","0.3180274145645509698","0.0031802741456455098368","1.1319650637478499977","0.011319650637478499353","8.4439883720930223915e-005","0.00019909250000000000514","7.2680641025641031221e-005","171.71679435973427985","15.973655289277607139","155.74313907045666383","3076756.0293510328047","510339.11810607241932","2566416.9112449605018","17917.618604651161149","31948.799999999999272","16478.523076923076587","98.618675118325313633","2.196377602275671137"
"10/09/2022 19:16:12.792","9817.0319512513415248","0.59918407905586801299","0.85342906337650770165","16384","0.0085342906337650768084","0.00025873333333333335205","0","9817.0319512513415248","0.59918407905586801299","0","0.85342906337650770165","0.0085342906337650768084","0.015502911079999655633","0.00015502911079999656067","0.83792615229650802","0.0083792615229650799225","0.00014290802675585284457","0.00025873333333333335205","0.00014173412162162162312","59.718679879234848329","0.59918407905586801299","59.119495800178974321","2801944.5360863204114","9817.0319512513415248","2792127.5041350689717","46919.063545150500431","16384","47228.540540540539951","99.142424576999417241","8.1888490804301969916"
